query_id	search_type	uniprot_id	seed_ligand	chem_comp_id	smiles
MPN_RS01730	nearest_k	P78030	98Z	ZINC000000142407	N#Cc1c[nH]c2ccccc12
MPN_RS01730	nearest_k	P78030	LYS	ZINC000001532522	NCCCC[C@H](N)C(=O)O
MPN_RS01730	nearest_k	P78030	FCN	ZINC000001530427	C[C@@H]1O[C@@H]1P(=O)(O)O
MPN_RS01730	nearest_k	P78030	PCA	ZINC000003598262	O=C1CC[C@H](C(=O)O)N1
MPN_RS01730	nearest_k	P78030	NLG	ZINC000001532704	CC(=O)N[C@@H](CCC(=O)O)C(=O)O
MPN_RS01730	nearest_k	P78030	IP8	ZINC000002557111	C=C(C)CCOP(=O)(O)O
MPN_RS01730	nearest_k	P78030	97W	ZINC000082788415	Cc1ccnc2cc(C(F)(F)F)ccc12
MPN_RS01730	nearest_k	P78030	5RN	ZINC000000335859	CC(=O)c1c[nH]c2ccccc12
MPN_RS01730	nearest_k	P78030	DCD	ZINC000003633221	CCN(CC)C(=S)S
MPN_RS01730	nearest_k	P78030	SRT	ZINC000000895301	O=C(O)[C@H](O)[C@@H](O)C(=O)O
MPN_RS01730	nearest_k	P78030	IPE	ZINC000008215654	C=C(C)CCO[P@@](=O)(O)OP(=O)(O)O
MPN_RS01730	nearest_k	P78030	ASP	ZINC000000895218	N[C@H](CC(=O)O)C(=O)O
MPN_RS01730	nearest_k	P78030	ACP	ZINC000008295124	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[P@@](=O)(O)O[P@](=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]1O
MPN_RS01730	nearest_k	P78030	ARG	ZINC000002166829	NC(=O)NCCC[C@@H](N)C(=O)O
MPN_RS01730	nearest_k	P78030	U5P	ZINC000008585032	O=c1ccn([C@@H]2O[C@@H](CO[P@@](=O)(O)OP(=O)(O)O)[C@@H](O)[C@@H]2O)c(=O)[nH]1
MPN_RS01730	nearest_k	P78030	9EQ	ZINC000000157768	CC(=O)c1c(O)cccc1O
MPN_RS01730	nearest_k	P78030	COA	ZINC000085576003	CC(C)(CO[P@@](=O)(O)O[P@@](=O)(O)OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1OP(=O)(O)O)[C@H](O)C(=O)NCCC(=O)NCCS
MPN_RS01730	nearest_k	P78030	97T	ZINC000100011276	Oc1ccccc1-c1ccno1
MPN_RS01730	nearest_k	P78030	GLU	ZINC000001482113	N[C@@H](CCC(=O)O)C(=O)O
MPN_RS01730	nearest_k	P78030	UOK	ZINC000002389515	COc1ccc2[nH]cc(CC#N)c2c1
MPN_RS01730	nearest_k	P78030	WZT	ZINC000002391325	O=P(O)(O)OCc1ccccc1
MPN_RS01730	nearest_k	P78030	97Q	ZINC000008830538	Oc1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12
MPN_RS01730	nearest_k	P78030	PIY	ZINC000000333848	c1ccc(-c2ncc[nH]2)cc1
MPN_RS01730	nearest_k	P78030	GGB	ZINC000040165554	NC(=O)NOCC[C@@H](N)C(=O)O
MPN_RS01730	nearest_k	P78030	X2W	ZINC000001529865	CC(=O)N[C@@H](CCC(=O)OP(=O)(O)O)C(=O)O
MPN_RS01730	nearest_k	P78030	RGP	ZINC000001529624	N[C@@H](CCC(=O)OP(=O)(O)O)C(=O)O
MPN_RS01730	nearest_k	P78030	14N	ZINC000000158905	CN1CCN(c2ccc(C(=O)O)cc2)CC1
MPN_RS01730	nearest_k	P78030	98T	ZINC000002548331	COC(=O)c1ccc(O)c(I)c1
MPN_RS01730	nearest_k	P78030	98Q	ZINC000034503706	COc1cc2cc[nH]c2cc1C(F)(F)F
MPN_RS01730	nearest_k	P78030	98W	ZINC000000032327	COC(=O)c1cc(O)cc(C(=O)OC)c1
MPN_RS01730	nearest_k	P78030	MLI	ZINC000000895212	O=C(O)CC(=O)O
