gene	gene_name	uniprot	druggability_score	hit_in_deg	human_offtarget	gut_microbiome_offtarget	betweenness_centrality
MPN_RS00005	dnaN	Q50313	0.34	True	no_hit	no_hit	0.0
MPN_RS00010	MPN_RS00010	Q50312	0.761	False	51.351	no_hit	0.0
MPN_RS00015	gyrB	P22447	0.451	True	27.211	1.0	0.0
MPN_RS00020	gyrA	P22446	0.737	True	28.453	1.0	0.0
MPN_RS00025	serS	P75107	0.452	True	40.157	0.643	0.0
MPN_RS00030	tmk	P75106	0.592	True	no_hit	0.22	0.0284065825157591
MPN_RS00035	MPN_RS00035	P75105	0.804	True	no_hit	no_hit	0.0
MPN_RS00040	mnmE	P75104	0.611	True	29.167	0.001	0.7640283002812691
MPN_RS00045	MPN_RS00045	P78005	0.907	False	31.818	0.001	0.0
MPN_RS00050	MPN_RS00050	P75103	0.687	False	no_hit	no_hit	0.0
MPN_RS00055	MPN_RS00055	P75102	0.816	False	no_hit	no_hit	0.0
MPN_RS00060	MPN_RS00060	P75101	0.714	False	no_hit	no_hit	0.0
MPN_RS04215	MPN_RS04215	P75100	0.784	False	no_hit	no_hit	0.0
MPN_RS00075	MPN_RS00075	P75099	0.823	False	no_hit	no_hit	0.0
MPN_RS00080	MPN_RS00080	P75098	0.221	False	no_hit	no_hit	0.0
MPN_RS00085	MPN_RS00085	P75097	0.743	True	31.553	0.001	0.0
MPN_RS00090	MPN_RS00090	P75096	0.878	True	41.558	no_hit	0.4530890870362856
MPN_RS00105	MPN_RS00105	P75095	0.787	True	40.789	no_hit	0.0
MPN_RS00110	MPN_RS00110	P75094	0.898	True	64.815	0.004	0.0
MPN_RS00115	MPN_RS00115	P75093	0.774	True	50.0	0.261	0.0
MPN_RS00120	MPN_RS00120	P78004	0.469	True	57.353	0.001	0.0
MPN_RS00125	pip	P75092	0.394	True	no_hit	0.002	0.0
MPN_RS00130	metG	P75091	0.644	True	34.0	0.082	0.0
MPN_RS00135	rpoE	P75090	0.688	True	no_hit	no_hit	0.0
MPN_RS00140	fba	P75089	0.733	True	no_hit	0.732	0.1476415520027689
MPN_RS00150	MPN_RS00150	P75087	0.834	False	no_hit	no_hit	0.0
MPN_RS00155	MPN_RS00155	P75086	0.775	True	no_hit	0.089	0.0
MPN_RS00160	efp	P75085	0.22	True	no_hit	0.117	0.0
MPN_RS00165	MPN_RS00165	P75084	0.838	True	no_hit	no_hit	0.0
MPN_RS00170	MPN_RS00170	P75083	0.513	True	no_hit	no_hit	0.0
MPN_RS00175	MPN_RS00175	P75082		True	no_hit	0.008	0.0
MPN_RS00180	upp	P75081	0.318	True	29.592	0.997	0.0410486855609958
MPN_RS00185	polC	P75080	0.803	True	no_hit	0.007	0.0
MPN_RS00190	MPN_RS00190	P75079	0.823	False	no_hit	no_hit	0.0
MPN_RS00195	MPN_RS00195	P75078	0.82	False	no_hit	no_hit	0.0
MPN_RS00205	MPN_RS00205	P75076	0.535	False	no_hit	no_hit	0.0
MPN_RS00210	MPN_RS00210	P75075	0.912	False	no_hit	no_hit	0.0
MPN_RS00215	MPN_RS00215	P75073	0.805	False	no_hit	no_hit	0.0
MPN_RS00220	MPN_RS00220	P75072	0.814	False	no_hit	no_hit	0.0
MPN_RS00225	MPN_RS00225	P75071	0.784	True	28.626	0.002	0.0
MPN_RS00235	hisS	P75069	0.455	True	25.424	0.004	0.0
MPN_RS00240	aspS	P75068	0.675	True	36.416	0.072	0.0
MPN_RS00245	MPN_RS00245	P75067	0.601	True	33.046	no_hit	0.0560706537914377
MPN_RS00250	MPN_RS00250	P75066	0.942	False	no_hit	no_hit	0.0
MPN_RS00255	MPN_RS00255	P75065	0.853	False	no_hit	no_hit	0.0
MPN_RS00260	MPN_RS00260			False	no_hit	no_hit	0.0
MPN_RS00265	glpK	P75064	0.77	True	52.174	1.0	0.0
MPN_RS00270	glpO	P75063	0.683	False	32.5	no_hit	0.0
MPN_RS00275	MPN_RS00275	P75062	0.643	True	no_hit	no_hit	0.0
MPN_RS00280	ptsH	P75061	0.186	True	no_hit	0.386	0.0
MPN_RS00290	MPN_RS00290			False	no_hit	no_hit	0.0
